Path,Name,ExactName,Features,Options,Occupied,Virtual,HomoOrbital,Dipole,Energy,Excited,Time
,4dg_CPC_C_4dg,4dgA_CPC_C_4dgA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2447404817,-2.365213485,150,1.4937,-7653.7341179,---,17.3666666667
,66b_TON_A_66b,6aa6bbA_TON_A_6aa6bbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2237877161,-2.579367076,150,0.0027,-3393.9597352,---,23.5666666667
,4bd_CPC_C_4bd,4bdA_CPC_C_4bdA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.4289615504,-2.4133776344,148,2.0632,-7776.5455329,---,21.2166666667
,A_TOP_555b_A,A_TOP_5aa5aa5bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0569635763,-2.6914779774,204,0.0019,-6289.6082594,---,12.45
,4h_TON_A_4h,4hhA_TON_A_4hhA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.7353250191,-1.5069664381,97,2.6825,-1250.738917,---,22.15
,A_COP_555d_A,A_COP_5aa5aa5ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5924836106,-2.9317544969,199,0.7365,-4820.2117743,---,103.55
,6_TON_8_6,6aaA_TON_8A_6aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.3119525998,-3.1864530498,121,0.0009,-1651.653653,---,3.8
,A_CSC_A_A,A_CSC_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4909851488,-0.8805603817,49,0.4156,-1181.0565047,---,0.7166666667
,C_CPC_4ae_C,C_CPC_4aeA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.05534925,-1.7605765356,134,2.7294,-6825.1543727,---,28.0666666667
,5ea_TON_24E_5ea_TSC_24E__n2,---,,opt b3lyp/6-31g(d) geom=connectivity,-5.1037671565,-2.8346098565,549,0.7649,-9081.6544904,---,300.216666667
,A_CSP_A_A,A_CSP_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7377924004,-1.8378568658,57,2.5665,-1786.3335826,---,0.9166666667
,A_CON_9_A_m2,A_CON_9_A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.5813085864,-1.7197594599,225,4.399,-4251.7978018,---,77.7666666667
,4gh_CPC_C_4gh,4ghA_CPC_C_4ghA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2923420466,-1.7959513347,146,3.4732,-7579.9507603,---,28.1333333333
,A_CSN_555c_A,A_CSN_5aa5aa5ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0983248797,-2.3657577127,240,3.1038,-14808.4298214,---,55.8666666667
,444h_TON_A_444h,4aa4aa4hhA_TON_A_4aa4aa4hhA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.750563394,-1.909967033,177,5.1208,-2174.9668535,---,24.6666666667
,2_TON_2_n2,2_TON_A_2_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5143869389,-2.6762396025,109,0.0047,-1442.8451681,---,5.05
,2_TSP_A_A,2A_TSP_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5886740169,-2.253918925,64,0.7968,-1863.7327206,---,1.6666666667
,A_CNN_A_A,A_CNN_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5497617379,-0.5567449137,41,6.7678,-527.4801995,---,0.3666666667
,A_CSP_5555g_A,A_CSP_5aa5aa5aa5ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0969643105,-2.0239827314,257,1.2895,-7793.5664058,---,79.5833333333
